Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP,Condition,Trim,Location,Origin,Horsepower,Color,Source,Source_URL,Source_ID,Collected_At
Jeep,Wrangler,300000,2010,Benzine,Automatic,3800,4X4,"EGP 820,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-84,
BMW,520,145000,2019,Benzine,Automatic,2000,Sedan,"EGP 1,750,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-85,
Mercedes-Benz,GLC 200,33000,2024,Benzine,Automatic,2000,Sports / Coupe,"EGP 4,500,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-86,
Hyundai,Elantra,60000,2023,Benzine,Automatic,4600,Sedan,"EGP 1,250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-87,
BMW,418,90000,2016,Natural Gas,Automatic,1500,Sedan,"EGP 1,600,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-88,
Kia,Rio,140000,2016,Benzine,Automatic,,Sedan,"EGP 620,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-89,
Nissan,Sunny,84000,2018,Benzine,Automatic,1600,Sedan,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-90,
Fiat,Dogan,310990,2009,Benzine,Manual,1600,Sedan,"EGP 90,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-91,
Citroen,C3,269000,2003,Benzine,Manual,,,"EGP 250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-92,
Fiat,500X,210000,2017,Benzine,Automatic,,Hatchback,"EGP 600,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-93,
Fiat,Siena,105000,2008,Benzine,Manual,1500,Sedan,"EGP 180,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-94,
Volkswagen,Golf,22000,1991,Benzine,Manual,2000,Hatchback,"EGP 225,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-95,
Mercedes-Benz,G63,125000,2016,Benzine,Automatic,5500,SUV,"EGP 7,500,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-96,
BMW,X3,20000,2024,Benzine,Automatic,2000,4X4,"EGP 3,700,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-97,
Suzuki,Maruti,56000,2009,Benzine,Manual,,,"EGP 170,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-98,
Ford,B-Max,165000,2015,Benzine,Automatic,1600,SUV,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-99,
Fiat,128,130000,1980,Diesel,Manual,1300,Sedan,"EGP 47,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-100,
Chevrolet,Optra,200000,2008,Benzine,Automatic,1600,Sedan,"EGP 345,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-101,
Mercedes-Benz,G63,19000,2021,Benzine,Automatic,,SUV,"EGP 13,900,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-102,
Kia,Cerato,90000,2022,Benzine,Automatic,1600,Sedan,"EGP 950,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-103,
Mercedes-Benz,CLS,65000,2019,Benzine,Automatic,2000,Sedan,"EGP 3,200,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-104,
Chery,Arrizo 5,48000,2023,Benzine,Automatic,1600,Sedan,"EGP 610,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-105,
Mercedes-Benz,190,250000,1984,Benzine,Manual,2000,Sedan,"EGP 270,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-106,
Skoda,Kodiaq,14000,2024,Benzine,Automatic,1500,SUV,"EGP 2,400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-107,
Volkswagen,Souran,115000,2008,Benzine,Manual,,,"EGP 260,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-108,
Proton,Gen-2,95000,2015,Benzine,Automatic,1600,Sedan,"EGP 475,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-109,
Opel,Astra,54000,2021,Benzine,Automatic,1400,Sedan,"EGP 760,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-110,
Ford,Focus,380000,2009,Benzine,Automatic,1600,Sedan,"EGP 550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-111,
Seat,Ibiza,20000,1993,Benzine,Manual,,Hatchback,"EGP 90,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-112,
